video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
154,19610,257147,1,4.53,0,child,,,
154,19660,257147,0,4.53,0,child,,,
154,19820,257147,1,4.53,0,child,,,
170,240,257578,0,4.04,0,adult,,,
170,440,257578,0,4.04,0,child,adult,,
170,3290,257578,0,4.04,0,child,,,
170,3600,257578,0,4.04,0,child,,,
170,3620,257578,1,4.04,0,,,,
170,4020,257578,0,4.04,0,adult,,,
170,5500,257578,0,4.04,0,child,,,
170,5980,257578,0,4.04,0,adult,,,
170,6040,257578,0,4.04,1,adult,,1.0,
170,8950,257578,0,4.04,1,adult,,0.0,
170,9000,257578,0,4.04,1,adult,,0.0,
170,9860,257578,0,4.04,0,child,,,
170,11900,257578,0,4.04,0,adult,,,
170,12010,257578,0,4.04,1,adult,,1.0,
170,12670,257578,0,4.04,1,adult,,0.0,
170,12860,257578,0,4.04,0,adult,,,
170,13040,257578,0,4.04,0,adult,,,
170,13510,257578,0,4.04,0,,,,
170,13530,257578,0,4.04,0,adult,,,
180,90,257608,1,4.67,0,child,adult,,
180,650,257608,0,4.67,0,child,adult,,
180,720,257608,0,4.67,0,child,adult,,
180,1020,257608,0,4.67,0,child,adult,,
180,1080,257608,0,4.67,0,child,adult,,
180,1860,257608,0,4.67,0,child,adult,,
180,2540,257608,0,4.67,0,child,,,
180,2850,257608,0,4.67,0,child,,,
180,4950,257608,1,4.67,0,adult,,,
180,5510,257608,0,4.67,0,adult,,,
180,6170,257608,0,4.67,0,adult,,,
180,7320,257608,0,4.67,0,adult,,,
180,7350,257608,0,4.67,0,adult,,,
180,8600,257608,1,4.67,0,adult,,,
180,8640,257608,0,4.67,0,adult,,,
180,9140,257608,1,4.67,0,adult,,,
180,9350,257608,0,4.67,0,adult,,,
180,11650,257608,0,4.67,0,adult,,,
180,11730,257608,0,4.67,0,adult,,,
184,5020,257608,1,4.67,0,adult,,,
184,9050,257608,0,4.67,0,,,,
184,15540,257608,0,4.67,0,adult,,,
184,16620,257608,0,4.67,0,adult,,,
184,20570,257608,0,4.67,0,adult,,,
184,21280,257608,0,4.67,0,adult,,,
184,23220,257608,1,4.67,0,adult,,,
184,27610,257608,1,4.67,0,adult,,,
184,29400,257608,1,4.67,0,,,,
184,31980,257608,0,4.67,0,adult,,,
184,34700,257608,1,4.67,0,adult,,,
184,37100,257608,1,4.67,0,adult,,,
184,37350,257608,1,4.67,0,,,,
184,38120,257608,0,4.67,0,adult,,,
184,39770,257608,1,4.67,0,adult,,,
184,43030,257608,0,4.67,0,,,,
184,43070,257608,0,4.67,0,,,,
184,43710,257608,0,4.67,0,adult,,,
184,43780,257608,0,4.67,0,adult,,,
184,45130,257608,0,4.67,0,adult,,,
184,46450,257608,1,4.67,0,,,,
184,46530,257608,1,4.67,0,adult,,,
184,46570,257608,0,4.67,0,,,,
184,47560,257608,0,4.67,0,adult,,,
184,50760,257608,0,4.67,0,adult,,,
205,6290,258239,0,3.47,0,adult,,,
205,6370,258239,0,3.47,0,,,,
205,10080,258239,0,3.47,0,,,,
205,12880,258239,0,3.47,0,adult,,,
205,13770,258239,0,3.47,0,adult,,,
205,16490,258239,1,3.47,1,adult,,0.0,
205,21110,258239,1,3.47,0,,,,
205,21320,258239,0,3.47,1,adult,,0.0,
205,21890,258239,0,3.47,0,adult,,,
205,22880,258239,1,3.47,0,,,,
205,22890,258239,1,3.47,0,,,,
205,25510,258239,1,3.47,1,adult,,0.0,
205,30110,258239,1,3.47,0,adult,,,
205,31530,258239,1,3.47,0,,,,
205,32910,258239,1,3.47,0,adult,,,
205,34340,258239,0,3.47,1,adult,,0.0,
205,36700,258239,1,3.47,0,adult,,,
205,37950,258239,1,3.47,0,adult,,,
205,42250,258239,1,3.47,1,,,1.0,
205,42310,258239,1,3.47,1,child,,1.0,
205,43130,258239,0,3.47,1,child,adult,0.0,
205,45170,258239,0,3.47,0,adult,,,
205,45240,258239,0,3.47,0,,,,
205,45480,258239,0,3.47,1,adult,,0.0,
205,45720,258239,1,3.47,1,adult,,0.0,
222,210,258541,0,5.86,1,adult,,0.0,
222,420,258541,0,5.86,0,adult,,,
222,1970,258541,0,5.86,0,,,,
222,5120,258541,0,5.86,0,,,,
222,7010,258541,0,5.86,0,adult,,,
222,9180,258541,0,5.86,0,,,,
222,9870,258541,0,5.86,0,child,,,
222,10020,258541,0,5.86,0,child,adult,,
222,10780,258541,0,5.86,0,child,,,
222,11460,258541,0,5.86,0,,,,
222,11880,258541,1,5.86,0,,,,
222,12590,258541,0,5.86,0,,,,
222,12860,258541,0,5.86,0,child,,,
222,13910,258541,1,5.86,0,adult,,,
222,13920,258541,1,5.86,1,adult,,0.0,
222,14430,258541,0,5.86,1,child,,0.0,
222,15290,258541,0,5.86,0,adult,,,
222,15690,258541,1,5.86,0,,,,
222,15860,258541,0,5.86,0,,,,
222,16010,258541,0,5.86,0,adult,,,
222,16600,258541,1,5.86,0,,,,
222,16920,258541,1,5.86,0,child,,,
222,18190,258541,1,5.86,0,child,,,
222,18660,258541,1,5.86,0,child,,,
222,18720,258541,0,5.86,0,,,,
222,18750,258541,0,5.86,0,adult,,,
222,19890,258541,0,5.86,0,child,,,
222,21560,258541,1,5.86,0,,,,
222,22280,258541,0,5.86,0,,,,
222,23150,258541,0,5.86,0,,,,
222,23650,258541,1,5.86,1,child,adult,0.0,
222,23700,258541,1,5.86,0,child,,,
222,24180,258541,0,5.86,0,adult,,,
222,24970,258541,0,5.86,0,,,,
222,25920,258541,0,5.86,0,child,,,
222,26610,258541,0,5.86,0,adult,,,
