PROJECT;ID;Date;Nr;Seconds per ID;Minutes_per_ID;Seconds;Duration;Comments;file name  (generated automatically);SA_name;powershell rename command;Labeled;;nr str;date_str;;
quantex_share;264576;07.05.2024;2;5117;85,28;673,00;00:11:13;;quantex_share_id264576_2024_05_07_02;975528;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264576_2024_05_07_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\975528.MP4;yes;;02;2024_05_07;;
quantex_share;264576;07.05.2024;1;5117;85,28;1800,00;00:30:00;;quantex_share_id264576_2024_05_07_01;653666;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264576_2024_05_07_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\653666.MP4;yes;;01;2024_05_07;;
quantex_share;265943;09.05.2024;1;5563;92,72;1485,00;00:24:45;;quantex_share_id265943_2024_05_09_01;688731;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265943_2024_05_09_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\688731.MP4;yes;;01;2024_05_09;;
quantex_share;265674;20.05.2024;2;8095;134,92;1085,00;00:18:05;;quantex_share_id265674_2024_05_20_02;637210;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_05_20_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\637210.MP4;yes;;02;2024_05_20;;
quantex_share;265674;20.05.2024;1;8095;134,92;1800,00;00:30:00;;quantex_share_id265674_2024_05_20_01;650263;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_05_20_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\650263.MP4;yes;;01;2024_05_20;;
quantex_share;266686;20.05.2024;2;10735;178,92;808,00;00:13:28;;quantex_share_id266686_2024_05_20_02;171099;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_05_20_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\171099.MP4;yes;;02;2024_05_20;;
quantex_share;266686;20.05.2024;1;10735;178,92;1800,00;00:30:00;;quantex_share_id266686_2024_05_20_01;463097;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_05_20_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\463097.MP4;yes;;01;2024_05_20;;
quantex_share;271735;20.05.2024;1;5915;98,58;307,00;00:05:07;;quantex_share_id271735_2024_05_20_01;401590;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_20_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\401590.MP4;yes;;01;2024_05_20;;
quantex_share;271735;24.05.2024;2;5915;98,58;254,00;00:04:14;;quantex_share_id271735_2024_05_24_02;924964;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_24_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\924964.MP4;yes;;02;2024_05_24;;
quantex_share;271735;24.05.2024;1;5915;98,58;1473,00;00:24:33;;quantex_share_id271735_2024_05_24_01;980187;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_24_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\980187.MP4;yes;;01;2024_05_24;;
